District,Province,Active Case,Active Case %,Cases,Death,Death %,Number of Records ,Recover,Recover %
Morang,1,2655,0.914886285,2902,29,0.009993108,1,218,0.075120606
Sunsari,1,1544,0.922893007,1673,11,0.006575015,1,118,0.070531978
Jhapa,1,513,0.609988109,841,6,0.007134364,1,322,0.382877527
Udayapur,1,73,0.467948718,156,1,0.006410256,1,82,0.525641026
Ilam,1,74,0.725490196,102,0,0,1,28,0.274509804
Okhaldhunga,1,77,0.802083333,96,0,0,1,19,0.197916667
Sankhuwasabha,1,75,0.925925926,81,0,0,1,6,0.074074074
Dhankuta,1,42,0.736842105,57,0,0,1,15,0.263157895
Khotang,1,37,0.711538462,52,0,0,1,15,0.288461538
Bhojpur,1,39,0.866666667,45,0,0,1,6,0.133333333
Panchthar,1,29,0.805555556,36,0,0,1,7,0.194444444
Terhathum,1,25,0.757575758,33,0,0,1,8,0.242424242
Taplejung,1,15,0.681818182,22,0,0,1,7,0.318181818
Solukhumbu,1,9,0.5625,16,0,0,1,7,0.4375
Parsa,2,2407,0.915905632,2628,45,0.017123288,1,176,0.066971081
Sarlahi,2,1729,0.731387479,2364,7,0.002961083,1,628,0.265651438
Rautahat,2,1346,0.640342531,2102,6,0.002854424,1,750,0.356803045
Dhanusha,2,1334,0.690833765,1931,17,0.008803729,1,580,0.300362506
Mahottari,2,1081,0.752261656,1437,12,0.008350731,1,344,0.239387613
Bara,2,1226,0.885198556,1385,18,0.012996390,1,141,0.101805054
Siraha,2,1110,0.845392232,1313,11,0.008377761,1,192,0.146230008
Saptari,2,807,0.690924658,1168,8,0.006849315,1,353,0.302226027
Kathmandu,3,14960,0.987393571,15151,81,0.005346182,1,110,0.007260247
Lalitpur,3,1686,0.973441109,1732,16,0.009237875,1,30,0.017321016
Chitawan,3,1624,0.943089431,1722,17,0.009872242,1,81,0.047038328
Bhaktapur,3,1643,0.971614429,1691,17,0.010053223,1,31,0.018332348
Makawanpur,3,1234,0.974723539,1266,11,0.008688784,1,21,0.016587678
Kabhrepalanchok,3,442,0.940425532,470,5,0.010638298,1,23,0.048936170
Dhading,3,287,0.693236715,414,2,0.004830918,1,125,0.301932367
Sindhupalchok,3,111,0.735099338,151,5,0.033112583,1,35,0.231788079
Ramechhap,3,125,0.856164384,146,1,0.006849315,1,20,0.136986301
Nuwakot,3,122,0.853146853,143,0,0,1,21,0.146853147
Dolakha,3,108,0.892561983,121,4,0.033057851,1,9,0.074380165
Sindhuli,3,91,0.842592593,108,0,0,1,17,0.157407407
Rasuwa,3,6,0.333333333,18,1,0.055555556,1,11,0.611111111
Kaski,4,773,0.870495495,888,11,0.012387387,1,104,0.117117117
Nawalparasi East,4,289,0.658314351,439,0,0,1,150,0.341685649
Nawalparasi West,4,286,0.651480638,439,2,0.004555809,1,151,0.343963554
Syangja,4,247,0.558823529,442,3,0.006787330,1,192,0.434389140
Tanahu,4,265,0.616279070,430,4,0.009302326,1,161,0.374418605
Baglung,4,159,0.418421053,380,1,0.002631579,1,220,0.578947368
Lamjung,4,281,0.751336898,374,0,0,1,93,0.248663102
Gorkha,4,252,0.705882353,357,5,0.014005602,1,100,0.280112045
Parbat,4,37,0.286821705,129,0,0,1,92,0.713178295
Myagdi,4,12,0.222222222,54,1,0.018518519,1,41,0.759259259
Manang,4,3,0.75,4,0,0,1,1,0.25
Mustang,4,0,0,1,0,0,1,1,1
Rupandehi,5,1931,0.853669319,2262,20,0.008841733,1,311,0.137488948
Banke,5,1268,0.748082596,1695,12,0.007079646,1,415,0.244837758
Kapilbastu,5,580,0.433807031,1337,10,0.007479432,1,747,0.558713538
Dang,5,518,0.480519481,1078,1,0.000927644,1,559,0.518552876
Palpa,5,202,0.265091864,762,4,0.005249344,1,556,0.729658793
Bardiya,5,411,0.669381107,614,3,0.004885993,1,200,0.325732899
Pyuthan,5,209,0.385608856,542,2,0.003690037,1,331,0.610701107
Gulmi,5,171,0.326335878,524,3,0.005725191,1,350,0.667938931
Parasi,5,328,0.714596950,459,6,0.013071895,1,125,0.272331155
Arghakhanchi,5,125,0.279642058,447,2,0.004474273,1,320,0.715883669
Rolpa,5,83,0.619402985,134,0,0,1,51,0.380597015
East Rukum,5,45,0.849056604,53,0,0,1,8,0.150943396
Surkhet,6,735,0.570209465,1289,3,0.002327386,1,551,0.427463150
Dailekh,6,299,0.270588235,1105,1,0.000904977,1,805,0.728506787
Salyan,6,170,0.468319559,363,0,0,1,193,0.531680441
Jumla,6,156,0.696428571,224,0,0,1,68,0.303571429
Rukum West,6,44,0.745762712,59,0,0,1,15,0.254237288
Rukum East,6,43,0.728813559,59,0,0,1,16,0.271186441
Kalikot,6,63,0.538461538,117,0,0,1,54,0.461538462
Jajarkot,6,59,0.830985915,71,0,0,1,12,0.169014085
Mugu,6,9,0.692307692,13,0,0,1,4,0.307692308
Dolpa,6,3,0.5,6,1,0.166666667,1,2,0.333333333
Humla,6,3,0.6,5,0,0,1,2,0.4
Kailali,7,1667,0.756695415,2203,6,0.002723559,1,530,0.240581026
Doti,7,530,0.496719775,1067,0,0,1,537,0.503280225
Achham,7,458,0.450787402,1016,2,0.001968504,1,556,0.547244094
Kanchanpur,7,291,0.375968992,774,0,0,1,483,0.624031008
Bajura,7,377,0.597464342,631,1,0.001584786,1,253,0.400950872
Bajhang,7,422,0.796226415,530,1,0.001886792,1,107,0.201886792
Baitadi,7,116,0.278846154,416,0,0,1,300,0.721153846
Dadeldhura,7,81,0.232758621,348,0,0,1,267,0.767241379
Darchula,7,77,0.855555556,90,0,0,1,13,0.144444444
